Name,Platform,MSRP,Buy Digital,Buy Physical,Demo Available,DLC Available,Publisher,Developer,ESRB,Release Date,No. of Players,Rom File Size,Switch Online Play,Switch Online Save,Switch Online App,Action,Adventure,Application,Arcade,Board Game,Camera,Casual,Communication,Creature Creator,Dance,Education,Edutainment,Fighting,First-Person,Fishing Game,Fitness,Gambling,Hidden Object,Interactive Theme Park,Lifestyle,Mental Training,Multiplayer,Music,Other,Party,Platformer,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy,Trivia,Undefined,Store Link,Official Site,Time Data Retrieved (UTC)
Death Mark,Nintendo Switch,$49.99,True,True,,,Aksys Games,,Mature,"Oct 31, 2018",1 player,3.9 GB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/death-mark-switch,http://www.aksysgames.com/deathmark/,2019-05-15 08:08:47
Transistor,Nintendo Switch,$19.99,True,,,,Supergiant Games,Supergiant Games,Teen,"Oct 31, 2018",1 player,3.1 GB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,https://www.nintendo.com/games/detail/transistor-switch,http://www.supergiantgames.com/games/transistor,2019-05-15 08:08:47
Numbala,Nintendo Switch,$7.99,True,,,,Neurodio,,Everyone,"Oct 31, 2018",1 player,1.5 GB,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/numbala-switch,,2019-05-15 08:08:47
Knock-Knock,Nintendo Switch,$6.99,True,,,,Ice-Pick Lodge,Ice-Pick Lodge,Teen,"Oct 31, 2018",1 player,867 MB,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,,https://www.nintendo.com/games/detail/knock-knock-switch,http://ice-pick.com/en/knock-knock/,2019-05-15 08:08:48
Hidden Folks,Nintendo Switch,$14.99,True,,,,Adriaan de Jongh,Adriaan de Jongh,Everyone,"Oct 31, 2018",1 player,284 MB,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,https://www.nintendo.com/games/detail/hidden-folks-switch,,2019-05-15 08:08:48
RISK Global Domination,Nintendo Switch,$19.99,True,,True,,Ubisoft,,Everyone 10+,"Oct 30, 2018",up to 5 players,1.9 GB,True,True,,,,,,True,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,True,,,https://www.nintendo.com/games/detail/risk-global-domination-switch,,2019-05-15 08:08:48
Hasbro Game Night,Nintendo Switch,$59.99,True,True,,,Ubisoft,,Everyone 10+,"Oct 30, 2018",up to 6 players,,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,True,,,https://www.nintendo.com/games/detail/hasbro-game-night-switch,,2019-05-15 08:08:49
Gal Metal,Nintendo Switch,$29.99,True,,,True,Marvelous (XSEED),DMM Games,Teen,"Oct 30, 2018",1 player,2.9 GB,,,,,True,,True,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,,,https://www.nintendo.com/games/detail/gal-metal-switch,,2019-05-15 08:08:49
Wheel of Fortune,Nintendo Switch,$19.99,True,,,,Ubisoft,,Everyone,"Oct 30, 2018",up to 3 players,2.1 GB,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,https://www.nintendo.com/games/detail/wheel-of-fortune-switch,,2019-05-15 08:08:49
Save me Mr Tako: Tasukete Tako-San,Nintendo Switch,$14.99,True,,,,"Nicalis, Inc.",,Everyone 10+,"Oct 30, 2018",1 player,786 MB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,https://www.nintendo.com/games/detail/save-me-mr-tako-tasukete-tako-san-switch,,2019-05-15 08:08:49
Demon's Crystals,Nintendo Switch,$14.99,True,,,,Badland Games,,Teen,"Oct 30, 2018",up to 4 players,1.1 GB,,,,True,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/demons-crystals-switch,,2019-05-15 08:08:50
Sports Party,Nintendo Switch,$39.99,True,True,,,Ubisoft,,Everyone,"Oct 30, 2018",up to 4 players,3.2 GB,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,,,,https://www.nintendo.com/games/detail/sports-party-switch,,2019-05-15 08:08:50
Yomawari: The Long Night Collection,Nintendo Switch,$39.99,True,True,,,NIS America,"Nippon Ichi Software, Inc.",Mature,"Oct 30, 2018",1 player,1.4 GB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,https://www.nintendo.com/games/detail/yomawari-the-long-night-collection-switch,http://nisamerica.com/games/yomawari/agegate.html,2019-05-15 08:08:50
LEGO Harry Potter Collection,Nintendo Switch,$49.99,True,True,,,WB Games,TT Games,Everyone 10+,"Oct 30, 2018",up to 2 players,12.1 GB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/lego-harry-potter-collection-switch,,2019-05-15 08:08:51
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,Nintendo Switch,$39.99,True,True,,,Ubisoft,,Everyone,"Oct 30, 2018",up to 3 players,,,,,,,,,True,,,,,,,,,,,,,,,,,,,True,True,,True,,,,,,,,,https://www.nintendo.com/games/detail/americas-greatest-game-shows-wheel-of-fortune-and-jeopardy-switch,,2019-05-15 08:08:51
Jeopardy!,Nintendo Switch,$19.99,True,,,,Ubisoft,,Everyone,"Oct 30, 2018",up to 3 players,596 MB,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,,True,,True,,,,,,,,,https://www.nintendo.com/games/detail/jeopardy-switch,,2019-05-15 08:08:51
Gal Metal World Tour Edition,Nintendo Switch,$39.99,True,True,,True,Marvelous (XSEED),DMM Games,Teen,"Oct 30, 2018",1 player,,,,,,True,,True,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,,,https://www.nintendo.com/games/detail/gal-metal-world-tour-edition-switch,http://www.galmetalforever.com/,2019-05-15 08:08:52
TRIVIAL PURSUIT Live!,Nintendo Switch,$19.99,True,,True,,Ubisoft,,Everyone,"Oct 30, 2018",up to 4 players,1.3 GB,True,True,,,,,,True,,,,,,True,,,,,,,,,,,True,,,True,,,,,,,,,,,https://www.nintendo.com/games/detail/trivial-pursuit-live-switch,,2019-05-15 08:08:52
Steven Universe: Save the Light,Nintendo Switch,$24.99,True,,,,Cartoon Network,,Everyone 10+,"Oct 30, 2018",1 player,2.5 GB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,,https://www.nintendo.com/games/detail/steven-universe-save-the-light-switch,,2019-05-15 08:08:52
Mutant Football League: Dynasty Edition,Nintendo Switch,$29.99,True,True,,True,Digital Dreams,Digital Dreams Entertainment LLC,Mature,"Oct 30, 2018",up to 4 players,3.1 GB,True,True,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,True,,,,https://www.nintendo.com/games/detail/mutant-football-league-dynasty-edition-switch,https://www.mutantfootballleague.com/,2019-05-15 08:08:53
OK K.O.! Let's Play Heroes,Nintendo Switch,$19.99,True,,,,Cartoon Network,,Everyone 10+,"Oct 30, 2018",1 player,2.3 GB,,,,True,True,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/ok-k-o-lets-play-heroes-switch,,2019-05-15 08:08:53
SkyScrappers,Nintendo Switch,$9.99,True,,,,Ant Workshop,,Teen,"Oct 29, 2018",up to 4 players,946 MB,,,,True,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/skyscrappers-switch,,2019-05-15 08:08:53
Professional Farmer: Nintendo Switch Edition,Nintendo Switch,$39.99,True,True,,,United Independent Entertainment,,Everyone,"Oct 29, 2018",1 player,3.3 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,https://www.nintendo.com/games/detail/professional-farmer-nintendo-switch-edition,,2019-05-15 08:08:54
Tennis World Tour,Nintendo Switch,$59.99,True,True,,True,Bigben Interactive,Breakpoint,Everyone,"Oct 29, 2018",up to 2 players,5.3 GB,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,https://www.nintendo.com/games/detail/tennis-world-tour-switch,,2019-05-15 08:08:54
Freaky Awesome,Nintendo Switch,$12.99,True,,,,BLG Publishing,,Teen,"Oct 26, 2018",up to 4 players,331 MB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,https://www.nintendo.com/games/detail/freaky-awesome-switch,,2019-05-15 08:08:54
911 Operator,Nintendo Switch,$14.99,True,,,True,SONKA,Jutsu Games,Teen,"Oct 26, 2018",1 player,1.7 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,https://www.nintendo.com/games/detail/911-operator-switch,http://sonkagames.com/games/911-operator,2019-05-15 08:08:55
Halloween Pinball,Nintendo Switch,$1.99,True,,,,EnjoyUp Games,,Everyone,"Oct 26, 2018",1 player,428 MB,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,True,,,,https://www.nintendo.com/games/detail/halloween-pinball-switch,,2019-05-15 08:08:55
MY HERO ONE'S JUSTICE,Nintendo Switch,$59.99,True,,,True,BANDAI NAMCO Entertainment,,Teen,"Oct 26, 2018",up to 2 players,3.5 GB,True,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/my-hero-ones-justice-switch,,2019-05-15 08:08:55
7 Billion Humans,Nintendo Switch,$14.99,True,,,,Tomorrow Corporation,Tomorrow Corporation,Everyone,"Oct 25, 2018",1 player,200 MB,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,True,,True,,,https://www.nintendo.com/games/detail/7-billion-humans-switch,https://tomorrowcorporation.com/7billionhumans,2019-05-15 08:08:56
Luke & Rebecca,Nintendo Switch,$9.99,True,,,,Racjin,,Everyone,"Oct 25, 2018",up to 2 players,131 MB,,,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,https://www.nintendo.com/games/detail/luke-and-rebecca-switch,,2019-05-15 08:08:56
Aqua TV,Nintendo Switch,$9.99,True,,,,EM Studios,Extra Mile Studios,Everyone,"Oct 25, 2018",1 player,220 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,,,,,https://www.nintendo.com/games/detail/aqua-tv-switch,,2019-05-15 08:08:56
Dracula's Legacy,Nintendo Switch,$19.99,True,,,,Joindots,,Teen,"Oct 25, 2018",1 player,1.2 GB,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,https://www.nintendo.com/games/detail/draculas-legacy-switch,,2019-05-15 08:08:57
DEADBOLT,Nintendo Switch,$9.99,True,,,,Hopoo Games,Code Mystics,Teen,"Oct 25, 2018",1 player,545 MB,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/deadbolt-switch,,2019-05-15 08:08:57
Chicken Range,Nintendo Switch,$24.99,True,True,,,Funbox Media,,Everyone 10+,"Oct 25, 2018",up to 2 players,137 MB,,,,True,,,True,,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,https://www.nintendo.com/games/detail/chicken-range-switch,,2019-05-15 08:08:57
Arcade Archives ALPHA MISSION,Nintendo Switch,$7.99,True,,,,"HAMSTER, Co.",,Everyone,"Oct 25, 2018",up to 2 players,94 MB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/arcade-archives-alpha-mission-switch,,2019-05-15 08:08:58
PIANISTA,Nintendo Switch,$24.99,True,,,,Superb,Superb Corp.,Everyone,"Oct 25, 2018",up to 2 players,614 MB,,,,True,,,True,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,,,https://www.nintendo.com/games/detail/pianista-switch,https://pianista.superbcorp.com/,2019-05-15 08:08:58
Black and White Bushido,Nintendo Switch,$13.00,True,,,,Good Catch,,Teen,"Oct 25, 2018",up to 4 players,561 MB,,,,True,,,True,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/black-and-white-bushido-switch,,2019-05-15 08:08:58
Puzzle Wall,Nintendo Switch,$7.99,True,,,,Rainy Frog,,Everyone,"Oct 25, 2018",up to 4 players,455 MB,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,https://www.nintendo.com/games/detail/puzzle-wall-switch,https://www.rainyfrog.com/en/game/puzzle_wall,2019-05-15 08:08:59
Johnny Turbo's Arcade: Heavy Burger,Nintendo Switch,$19.99,True,,,,FTE Games,,Everyone 10+,"Oct 25, 2018",up to 4 players,438 MB,,,,True,,,True,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,https://www.nintendo.com/games/detail/johnny-turbos-arcade-heavy-burger-switch,https://www.flyingtigerentertainment.com/heavy_burger.html,2019-05-15 08:08:59
Startide,Nintendo Switch,$9.99,True,,,,Forever Entertainment,,Everyone 10+,"Oct 25, 2018",up to 2 players,980 MB,,,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/startide-switch,,2019-05-15 08:08:59
Word Puzzles by POWGI,Nintendo Switch,$9.99,True,,True,True,Lightwood Games,Lightwood Games,Everyone,"Oct 25, 2018",1 player,87 MB,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,True,,,https://www.nintendo.com/games/detail/word-puzzles-by-powgi-switch,,2019-05-15 08:09:00
Friday the 13th: Killer Puzzle,Nintendo Switch,$19.99,True,,,,Blue Wizard Digital,Blue Wizard Digital,Mature,"Oct 25, 2018",1 player,324 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,https://www.nintendo.com/games/detail/friday-the-13th-killer-puzzle-switch,,2019-05-15 08:09:00
Storm In A Teacup,Nintendo Switch,$2.99,True,,,,Rising Star Games,Cobra Mobile,Everyone,"Oct 25, 2018",1 player,106 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,https://www.nintendo.com/games/detail/storm-in-a-teacup-switch,,2019-05-15 08:09:00
Pinstripe,Nintendo Switch,$14.99,True,,,,Serenity Forge,Atmos Games,Teen,"Oct 25, 2018",1 player,1.2 GB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,https://www.nintendo.com/games/detail/pinstripe-switch,,2019-05-15 08:09:01
Car Quest,Nintendo Switch,$9.99,True,,,,Ezone,Ezone PTY LTD,Everyone,"Oct 25, 2018",1 player,336 MB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,https://www.nintendo.com/games/detail/car-quest-switch,http://carquest.ezone.com/,2019-05-15 08:09:01
1001 Ultimate Mahjong 2,Nintendo Switch,$9.99,True,,,,NAWIA GAMES,NAWIA GAMES,Everyone,"Oct 25, 2018",1 player,177 MB,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,True,,,https://www.nintendo.com/games/detail/1001-ultimate-mahjong-2-switch,,2019-05-15 08:09:01
Super Hyperactive Ninja,Nintendo Switch,$8.99,True,,,,JanduSoft,,Everyone 10+,"Oct 25, 2018",up to 2 players,73 MB,,,,True,,,True,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,https://www.nintendo.com/games/detail/super-hyperactive-ninja-switch,,2019-05-15 08:09:02
Eternum Ex,Nintendo Switch,$12.99,True,,,,Zerouno Games,,Teen,"Oct 25, 2018",1 player,209 MB,,,,True,True,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,https://www.nintendo.com/games/detail/eternum-ex-switch,,2019-05-15 08:09:02
Fly O'Clock,Nintendo Switch,$1.99,True,,,,Forever Entertainment,,Everyone,"Oct 25, 2018",up to 4 players,110 MB,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/fly-o-clock-switch,,2019-05-15 08:09:02
ACA NEOGEO SAVAGE REIGN,Nintendo Switch,$7.99,True,,,,"HAMSTER, Co.",,Teen,"Oct 25, 2018",up to 2 players,107 MB,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/aca-neogeo-savage-reign-switch,,2019-05-15 08:09:03
Fairy Tale Puzzles~Magic Objects~,Nintendo Switch,$9.99,True,,,True,Office5656,"Adore Co.,Ltd.",Everyone,"Oct 25, 2018",1 player,166 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,https://www.nintendo.com/games/detail/fairy-tale-puzzles-magic-objects-switch,,2019-05-15 08:09:03
Suicide Guy: Sleepin' Deeply,Nintendo Switch,$5.99,True,,,,Chubby Pixel,,Teen,"Oct 24, 2018",1 player,1.4 GB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,https://www.nintendo.com/games/detail/suicide-guy-sleepin-deeply-switch,,2019-05-15 08:09:03
Deployment,Nintendo Switch,$9.99,True,,,,Whale Rock Games,,Everyone,"Oct 24, 2018",up to 8 players,522 MB,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/deployment-switch,,2019-05-15 08:09:04
PAW Patrol: On a Roll!,Nintendo Switch,$39.99,True,True,,,Outright Games,Torus Games,Everyone,"Oct 23, 2018",1 player,1.2 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,https://www.nintendo.com/games/detail/paw-patrol-on-a-roll-switch,https://www.outrightgames.com/paw-patrol,2019-05-15 08:09:04
Just Dance 2019,Nintendo Switch,$39.99,True,True,,,Ubisoft,Ubisoft Paris / Ubisoft Pune / Ubisoft Shanghai,Everyone,"Oct 23, 2018",up to 6 players,7.5 GB,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,True,,,,,https://www.nintendo.com/games/detail/just-dance-2019-switch,https://www.ubisoft.com/en-us/game/just-dance-2019/,2019-05-15 08:09:04
Windjammers,Nintendo Switch,$14.99,True,,,,Dotemu,Dotemu,Everyone,"Oct 23, 2018",up to 2 players,86 MB,True,True,,,,,True,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,True,,,,https://www.nintendo.com/games/detail/windjammers-switch,,2019-05-15 08:09:04
Cabela's: The Hunt - Championship Edition,Nintendo Switch,$39.99,True,,,,PLANET ENTMT,,Teen,"Oct 23, 2018",up to 2 players,1.5 GB,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,True,,,,https://www.nintendo.com/games/detail/cabelas-the-hunt-championship-edition-switch,http://bpsgames.com/,2019-05-15 08:09:05
Bass Pro Shops: The Strike - Championship Edition,Nintendo Switch,$39.99,True,True,,,PLANET ENTMT,,Everyone,"Oct 23, 2018",up to 4 players,1.2 GB,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,True,,,,https://www.nintendo.com/games/detail/bass-pro-shops-the-strike-championship-edition-switch,http://bpsgames.com/,2019-05-15 08:09:05
Nickelodeon Kart Racers,Nintendo Switch,$39.99,True,True,,,GameMill Entertainment,Bam Tang Games,Everyone,"Oct 23, 2018",up to 4 players,1.0 GB,,,,True,,,True,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,,https://www.nintendo.com/games/detail/nickelodeon-kart-racers-switch,,2019-05-15 08:09:05
I Hate Running Backwards,Nintendo Switch,$14.99,True,,,,Devolver Digital,Binx Interactive,Teen,"Oct 19, 2018",up to 2 players,1.4 GB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,https://www.nintendo.com/games/detail/i-hate-running-backwards-switch,,2019-05-15 08:09:06
Tied Together,Nintendo Switch,$14.99,True,,True,,Headup Games,Napalmtree studios,Everyone 10+,"Oct 19, 2018",up to 4 players,685 MB,,,,,,,,,,,,,,,,,,,,,,,,,True,,,True,True,True,,,,,,,,,https://www.nintendo.com/games/detail/tied-together-switch,,2019-05-15 08:09:06
The Legend of Evil,Nintendo Switch,$7.99,True,,,,Springloaded,Springloaded,Everyone 10+,"Oct 19, 2018",1 player,682 MB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,True,,,https://www.nintendo.com/games/detail/the-legend-of-evil-switch,,2019-05-15 08:09:06
Pizza Titan Ultra,Nintendo Switch,$11.99,True,,,,Breakfall,Breakfall,Everyone 10+,"Oct 19, 2018",1 player,2.1 GB,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,https://www.nintendo.com/games/detail/pizza-titan-ultra-switch,,2019-05-15 08:09:07
Personality and Psychology Premium,Nintendo Switch,$8.99,True,,,,Crazysoft,Crazysoft Limited,Mature,"Oct 18, 2018",up to 5 players,171 MB,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,True,,,,,,,,,,,https://www.nintendo.com/games/detail/personality-and-psychology-premium-switch,,2019-05-15 08:09:07
Drift Legends,Nintendo Switch,$4.99,True,,,,LUXTRADE,Black Fox Entertainment,Everyone,"Oct 18, 2018",1 player,1.1 GB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,https://www.nintendo.com/games/detail/drift-legends-switch,,2019-05-15 08:09:07
Passpartout: The Starving Artist,Nintendo Switch,$9.99,True,,,,Flamebait,Snowden Studios,Teen,"Oct 18, 2018",1 player,517 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,https://www.nintendo.com/games/detail/passpartout-the-starving-artist-switch,,2019-05-15 08:09:08
WILL: A Wonderful World,Nintendo Switch,$14.99,True,,,,CIRCLE Ent.,,Mature,"Oct 18, 2018",1 player,1.2 GB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,https://www.nintendo.com/games/detail/will-a-wonderful-world-switch,,2019-05-15 08:09:08
Momonga Pinball Adventures,Nintendo Switch,$5.99,True,,,,Plug In Digital,Seaven Studio,Everyone,"Oct 18, 2018",1 player,1.4 GB,,,,,True,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,https://www.nintendo.com/games/detail/momonga-pinball-adventures-switch,,2019-05-15 08:09:08
The Room,Nintendo Switch,$9.99,True,,,,Team17 Digital Ltd,,Everyone,"Oct 18, 2018",1 player,869 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,https://www.nintendo.com/games/detail/the-room-switch,,2019-05-15 08:09:09
BLACK BIRD,Nintendo Switch,$19.99,True,,,,Onion Games,Onion Games,Everyone 10+,"Oct 18, 2018",1 player,764 MB,,,,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,https://www.nintendo.com/games/detail/black-bird-switch,http://oniongames.jp/blackbird/blackbird_en/index.html,2019-05-15 08:09:09
Season Match,Nintendo Switch,$9.99,True,,,,Joindots,,Everyone,"Oct 18, 2018",1 player,172 MB,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,True,,,,,,True,,,https://www.nintendo.com/games/detail/season-match-switch,,2019-05-15 08:09:09
SpiderSolitaire BLACK,Nintendo Switch,$5.00,True,,,,G-mode,G-mode,Everyone,"Oct 18, 2018",1 player,40 MB,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,https://www.nintendo.com/games/detail/spidersolitaire-black-switch,,2019-05-15 08:09:09
SINNER: Sacrifice for Redemption,Nintendo Switch,$18.99,True,,,,Another Indie Studio,,Mature,"Oct 18, 2018",1 player,18.3 GB,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/sinner-sacrifice-for-redemption-switch,https://anotherindie.com/sinner/,2019-05-15 08:09:10
ACA NEOGEO STRIKERS 1945 PLUS,Nintendo Switch,$7.99,True,,,,"HAMSTER, Co.",,Everyone 10+,"Oct 18, 2018",up to 2 players,150 MB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/aca-neogeo-strikers-1945-plus-switch,,2019-05-15 08:09:10
Syberia 3,Nintendo Switch,$49.99,True,True,,,Microids,Microids,Teen,"Oct 18, 2018",1 player,6.8 GB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,https://www.nintendo.com/games/detail/syberia-3-switch,,2019-05-15 08:09:10
Arcade Archives Ninja-Kid II,Nintendo Switch,$7.99,True,,,,"HAMSTER, Co.",,Everyone,"Oct 18, 2018",up to 2 players,99 MB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/arcade-archives-ninja-kid-2-switch,,2019-05-15 08:09:11
Zarvot,Nintendo Switch,,True,,,,snowhydra games,snowhydra games,Everyone,"Oct 18, 2018",up to 4 players,1.6 GB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,https://www.nintendo.com/games/detail/zarvot-switch,http://www.zarvot.com/,2019-05-15 08:09:11
Spencer,Nintendo Switch,$6.99,True,,,,EntwicklerX,EntwicklerX,Everyone,"Oct 18, 2018",1 player,119 MB,,,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,https://www.nintendo.com/games/detail/spencer-switch,,2019-05-15 08:09:11
The Jackbox Party Pack 5,Nintendo Switch,$29.99,True,,,,Jackbox Games,Jackbox Games,Teen,"Oct 17, 2018",1 player,2.4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,https://www.nintendo.com/games/detail/the-jackbox-party-pack-5-switch,http://jackboxgames.com/jbpp5/,2019-05-15 08:09:12
Big Buck Hunter Arcade,Nintendo Switch,$29.99,True,True,,,GameMill Entertainment,Game Mechanic Studios,Teen,"Oct 16, 2018",up to 2 players,3.2 GB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,https://www.nintendo.com/games/detail/big-buck-hunter-arcade-switch,,2019-05-15 08:09:12
WARRIORS OROCHI 4,Nintendo Switch,$59.99,True,True,,True,KOEI TECMO AMERICA,"KOEI TECMO GAMES CO., LTD.",Teen,"Oct 16, 2018",up to 6 players,12.3 GB,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/warriors-orochi-4-switch,http://www.koeitecmoamerica.com/wo4/,2019-05-15 08:09:12
Crayola Scoot,Nintendo Switch,$39.99,True,True,,,Outright Games,,Everyone,"Oct 16, 2018",up to 4 players,985 MB,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,True,,,,https://www.nintendo.com/games/detail/crayola-scoot-switch,,2019-05-15 08:09:13
Starlink: Battle For Atlas,Nintendo Switch,$79.99,,True,,True,Ubisoft,,Everyone 10+,"Oct 16, 2018",up to 2 players,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,https://www.nintendo.com/games/detail/starlink-battle-for-atlas-switch,,2019-05-15 08:09:13
LEGO DC Super-Villains,Nintendo Switch,$59.99,True,True,,True,WB Games,TT Games,Everyone 10+,"Oct 16, 2018",up to 2 players,11.4 GB,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/lego-dc-super-villains-switch,,2019-05-15 08:09:14
Starlink: Battle for Atlas Deluxe Edition,Nintendo Switch,$79.99,,,,True,Ubisoft,,Everyone 10+,"Oct 16, 2018",up to 2 players,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,https://www.nintendo.com/games/detail/starlink-battle-for-atlas-deluxe-edition-switch,,2019-05-15 08:09:14
