Nintendo Switch,Nintendo 3DS,Wii U,iOS,Android
https://www.nintendo.com/games/detail/captain-toad-treasure-tracker-switch,https://www.nintendo.com/games/detail/breakout-defense-3ds,https://www.nintendo.com/games/detail/break-in-wii-u,,
https://www.nintendo.com/games/detail/wolfenstein-ii-the-new-colossus-switch,https://www.nintendo.com/games/detail/double-breakout-3ds,https://www.nintendo.com/games/detail/lords-of-thunder-wii-u,,
https://www.nintendo.com/games/detail/mario-tennis-aces-switch,https://www.nintendo.com/games/detail/space-defender-battle-infinity-3ds,https://www.nintendo.com/games/detail/tomeling-in-trouble-wii-u,,
https://www.nintendo.com/games/detail/fortnite-switch,https://www.nintendo.com/games/detail/monster-hunter-generations-ultimate-save-data-transfer-app-3ds,https://www.nintendo.com/games/detail/power-golf-wii-u,,
https://www.nintendo.com/games/detail/splatoon-2-starter-edition-switch,https://www.nintendo.com/games/detail/warioware-gold-3ds,https://www.nintendo.com/games/detail/just-dance-2018-wii-u,,
https://www.nintendo.com/games/detail/xenoblade-chronicles-2-switch,https://www.nintendo.com/games/detail/rto-3-new-nintendo-3ds,https://www.nintendo.com/games/detail/motoroader-wii-u,,
https://www.nintendo.com/games/detail/xenoblade-chronicles-2-special-edition-switch,https://www.nintendo.com/games/detail/sanrio-characters-picross-3ds,https://www.nintendo.com/games/detail/digital-champ-battle-boxing-wii-u,,
https://www.nintendo.com/games/detail/the-legend-of-zelda-breath-of-the-wild-explorers-edition-switch,https://www.nintendo.com/games/detail/captain-toad-treasure-tracker-3ds,https://www.nintendo.com/games/detail/legend-of-hero-tonma-wii-u,,
https://www.nintendo.com/games/detail/the-elder-scrolls-v-skyrim-switch,https://www.nintendo.com/games/detail/zeus-quest-remastered-3ds,https://www.nintendo.com/games/detail/volgarr-the-viking-wii-u,,
https://www.nintendo.com/games/detail/super-mario-odyssey-switch,https://www.nintendo.com/games/detail/penguin-hop-3ds,https://www.nintendo.com/games/detail/double-dungeons-wii-u,,
https://www.nintendo.com/games/detail/splatoon-2-switch,https://www.nintendo.com/games/detail/i-f-o-3ds,https://www.nintendo.com/games/detail/super-ultra-star-shooter-wii-u,,
https://www.nintendo.com/games/detail/arms-switch,https://www.nintendo.com/games/detail/sushi-striker-the-way-of-sushido-3ds,https://www.nintendo.com/games/detail/hive-jump-wii-u,,
https://www.nintendo.com/games/detail/mario-kart-8-deluxe-switch,https://www.nintendo.com/games/detail/games-for-toddlers-2-3ds,https://www.nintendo.com/games/detail/chew-man-fu-wii-u,,
https://www.nintendo.com/games/detail/the-legend-of-zelda-breath-of-the-wild-switch,https://www.nintendo.com/games/detail/rainbow-snake-3ds,https://www.nintendo.com/games/detail/shockman-wii-u,,
https://www.nintendo.com/games/detail/fantasy-strike-switch,https://www.nintendo.com/games/detail/storm-chaser-tornado-alley-3ds,https://www.nintendo.com/games/detail/vigilante-wii-u,,
https://www.nintendo.com/games/detail/munchkin-switch,https://www.nintendo.com/games/detail/dragon-lapis-3ds,https://www.nintendo.com/games/detail/earthlock-festival-of-magic-wii-u,,
https://www.nintendo.com/games/detail/rune-factory-4-special-switch,https://www.nintendo.com/games/detail/bloodstained-curse-of-the-moon-3ds,https://www.nintendo.com/games/detail/detana-twin-bee-wii-u,,
https://www.nintendo.com/games/detail/minekos-night-market-switch,https://www.nintendo.com/games/detail/dillons-dead-heat-breakers-3ds,https://www.nintendo.com/games/detail/china-warrior-wii-u,,
https://www.nintendo.com/games/detail/shovel-knight-king-of-cards-switch,https://www.nintendo.com/games/detail/block-a-pix-color-3ds,https://www.nintendo.com/games/detail/annihilation-wii-u,,
https://www.nintendo.com/games/detail/huntdown-switch,https://www.nintendo.com/games/detail/shin-megami-tensei-strange-journey-redux-3ds,https://www.nintendo.com/games/detail/final-soldier-wii-u,,
https://www.nintendo.com/games/detail/the-red-lantern-switch,https://www.nintendo.com/games/detail/up-up-bot-3ds,https://www.nintendo.com/games/detail/soldier-blade-wii-u,,
https://www.nintendo.com/games/detail/bullet-age-switch,https://www.nintendo.com/games/detail/3d-retro-dungeon-puzzle-challenge-3ds,https://www.nintendo.com/games/detail/air-zonk-wii-u,,
https://www.nintendo.com/games/detail/inmost-switch,https://www.nintendo.com/games/detail/cycle-of-eternity-space-anomaly-3ds,https://www.nintendo.com/games/detail/ninja-spirit-wii-u,,
https://www.nintendo.com/games/detail/levelhead-switch,https://www.nintendo.com/games/detail/alter-world-3ds,https://www.nintendo.com/games/detail/victory-run-wii-u,,
https://www.nintendo.com/games/detail/catan-switch,https://www.nintendo.com/games/detail/waku-waku-sweets-happy-sweets-making-3ds,https://www.nintendo.com/games/detail/cubeshift-wii-u,,
https://www.nintendo.com/games/detail/samurai-gunn-2-switch,https://www.nintendo.com/games/detail/dodge-club-pocket-3ds,https://www.nintendo.com/games/detail/eba-and-egg-a-hatch-trip-wii-u,,
https://www.nintendo.com/games/detail/pandemic-switch,https://www.nintendo.com/games/detail/the-alliance-alive-3ds,https://www.nintendo.com/games/detail/galaxy-blaster-wii-u,,
https://www.nintendo.com/games/detail/killer-queen-black-switch,https://www.nintendo.com/games/detail/detective-pikachu-3ds,https://www.nintendo.com/games/detail/box-up-wii-u,,
https://www.nintendo.com/games/detail/police-stories-switch,https://www.nintendo.com/games/detail/witch-and-hero-3-3ds,https://www.nintendo.com/games/detail/rayman-raving-rabbids-wii-u,,
https://www.nintendo.com/games/detail/king-of-the-hat-switch,https://www.nintendo.com/games/detail/brick-thru-3ds,https://www.nintendo.com/games/detail/revenant-saga-wii-u,,
https://www.nintendo.com/games/detail/kentucky-route-zero-tv-edition-switch,https://www.nintendo.com/games/detail/fat-dragons-3ds,https://www.nintendo.com/games/detail/space-hunted-wii-u,,
https://www.nintendo.com/games/detail/forager-switch,https://www.nintendo.com/games/detail/steamworld-dig-2-3ds,https://www.nintendo.com/games/detail/a-day-at-the-carnival-wii-u,,
https://www.nintendo.com/games/detail/super-meat-boy-forever-switch,https://www.nintendo.com/games/detail/rto-2-new-nintendo-3ds,https://www.nintendo.com/games/detail/bonk-3-bonks-big-adventure-wii-u,,
https://www.nintendo.com/games/detail/untitled-goose-game-switch,https://www.nintendo.com/games/detail/machine-knight-3ds,https://www.nintendo.com/games/detail/preston-sterling-wii-u,,
https://www.nintendo.com/games/detail/crosscode-switch,https://www.nintendo.com/games/detail/radiant-historia-perfect-chronology-3ds,https://www.nintendo.com/games/detail/devils-crush-wii-u,,
https://www.nintendo.com/games/detail/dead-by-daylight-switch,https://www.nintendo.com/games/detail/now-i-know-my-abcs-2-3ds,https://www.nintendo.com/games/detail/daikon-set-wii-u,,
https://www.nintendo.com/games/detail/overland-switch,https://www.nintendo.com/games/detail/pokemon-crystal-version-3ds,https://www.nintendo.com/games/detail/mutant-alien-moles-of-the-dead-wii-u,,
https://www.nintendo.com/games/detail/rad-switch,https://www.nintendo.com/games/detail/zig-zag-go-3ds,https://www.nintendo.com/games/detail/cars-3-driven-to-win-wii-u,,
https://www.nintendo.com/games/detail/neo-cab-switch,https://www.nintendo.com/games/detail/kirby-battle-royale-3ds,https://www.nintendo.com/games/detail/alien-crush-wii-u,,
https://www.nintendo.com/games/detail/double-kick-heroes-switch,https://www.nintendo.com/games/detail/link-a-pix-color-3ds,https://www.nintendo.com/games/detail/neutopia-ii-wii-u,,
https://www.nintendo.com/games/detail/creature-in-the-well-switch,https://www.nintendo.com/games/detail/raining-coins-3ds,https://www.nintendo.com/games/detail/cubit-the-hardcore-platformer-robot-hd-wii-u,,
https://www.nintendo.com/games/detail/swimsanity-switch,https://www.nintendo.com/games/detail/style-savvy-styling-star-3ds,https://www.nintendo.com/games/detail/sphere-slice-wii-u,,
https://www.nintendo.com/games/detail/bloodroots-switch,https://www.nintendo.com/games/detail/mom-hid-my-game-3ds,https://www.nintendo.com/games/detail/coqui-the-game-wii-u,,
https://www.nintendo.com/games/detail/grid-autosport-switch,https://www.nintendo.com/games/detail/picross-e8-3ds,https://www.nintendo.com/games/detail/block-zombies-wii-u,,
https://www.nintendo.com/games/detail/oninaki-switch,https://www.nintendo.com/games/detail/battleminerz-3ds,https://www.nintendo.com/games/detail/the-girl-and-the-robot-wii-u,,
https://www.nintendo.com/games/detail/pine-switch,https://www.nintendo.com/games/detail/the-legend-of-dark-witch-3-wisdom-and-lunacy-3ds,https://www.nintendo.com/games/detail/darksiders-warmastered-edition-wii-u,,
https://www.nintendo.com/games/detail/bloodstained-ritual-of-the-night-switch,https://www.nintendo.com/games/detail/blok-drop-chaos-3ds,https://www.nintendo.com/games/detail/blazing-lazers-wii-u,,
https://www.nintendo.com/games/detail/wolfenstein-youngblood-switch,https://www.nintendo.com/games/detail/squareboy-vs-bullies-arena-edition-3ds,https://www.nintendo.com/games/detail/pinball-wii-u,,
https://www.nintendo.com/games/detail/stranger-things-3-the-game-switch,https://www.nintendo.com/games/detail/80s-overdrive-3ds,https://www.nintendo.com/games/detail/triple-breakout-wii-u,,
https://www.nintendo.com/games/detail/my-friend-pedro-switch,https://www.nintendo.com/games/detail/christmas-night-archery-3ds,https://www.nintendo.com/games/detail/bonks-revenge-wii-u,,
https://www.nintendo.com/games/detail/we-the-revolution-switch,https://www.nintendo.com/games/detail/japanese-rail-sim-3d-travel-of-steam-3ds,https://www.nintendo.com/games/detail/winkings-wii-u,,
https://www.nintendo.com/games/detail/crash-team-racing-nitro-fueled-switch,https://www.nintendo.com/games/detail/breakout-defense-2-3ds,https://www.nintendo.com/games/detail/citadale-the-legends-trilogy-wii-u,,
https://www.nintendo.com/games/detail/kotodama-the-7-mysteries-of-fujisawa-switch,https://www.nintendo.com/games/detail/physical-contact-picture-place-3ds,https://www.nintendo.com/games/detail/fifteen-wii-u,,
https://www.nintendo.com/games/detail/mowin-and-throwin-switch,https://www.nintendo.com/games/detail/river-city-rival-showdown-3ds,https://www.nintendo.com/games/detail/use-your-words-wii-u,,
https://www.nintendo.com/games/detail/super-arcade-soccer-switch,https://www.nintendo.com/games/detail/apollo-justice-ace-attorney-3ds,https://www.nintendo.com/games/detail/absolutely-unstoppable-minerun-wii-u,,
https://www.nintendo.com/games/detail/golem-gates-switch,https://www.nintendo.com/games/detail/pokemon-ultra-sun-3ds,https://www.nintendo.com/games/detail/rayman-advance-wii-u,,
https://www.nintendo.com/games/detail/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda-switch,https://www.nintendo.com/games/detail/pokemon-ultra-moon-starter-pack-3ds,https://www.nintendo.com/games/detail/booty-diver-wii-u,,
https://www.nintendo.com/games/detail/ages-of-mages-the-last-keeper-switch,https://www.nintendo.com/games/detail/pokemon-ultra-sun-starter-pack-3ds,https://www.nintendo.com/games/detail/orbit-wii-u,,
https://www.nintendo.com/games/detail/super-cane-magic-zero-switch,https://www.nintendo.com/games/detail/pokemon-ultra-sun-and-ultra-moon-steelbook-dual-pack-3ds,https://www.nintendo.com/games/detail/rayman-3-wii-u,,
https://www.nintendo.com/games/detail/terratech-switch,https://www.nintendo.com/games/detail/pokemon-ultra-sun-and-pokemon-ultra-moon-veteran-trainers-dual-pack-3ds,https://www.nintendo.com/games/detail/mop-operation-cleanup-wii-u,,
https://www.nintendo.com/games/detail/crystal-crisis-switch,https://www.nintendo.com/games/detail/pokemon-ultra-moon-3ds,https://www.nintendo.com/games/detail/pic-a-pix-color-wii-u,,
https://www.nintendo.com/games/detail/among-the-sleep-enhanced-edition-switch,https://www.nintendo.com/games/detail/mario-party-the-top-100-3ds,https://www.nintendo.com/games/detail/super-star-soldier-wii-u,,
https://www.nintendo.com/games/detail/lapis-x-labyrinth-switch,https://www.nintendo.com/games/detail/rto-3ds,https://www.nintendo.com/games/detail/world-sports-competition-wii-u,,
https://www.nintendo.com/games/detail/little-friends-dogs-and-cats-switch,https://www.nintendo.com/games/detail/bonds-of-the-skies-3ds,https://www.nintendo.com/games/detail/animal-gods-wii-u,,
https://www.nintendo.com/games/detail/back-in-1995-switch,https://www.nintendo.com/games/detail/hiding-out-3ds,https://www.nintendo.com/games/detail/cube-life-pixel-action-heroes-wii-u,,
https://www.nintendo.com/games/detail/skelly-selest-switch,https://www.nintendo.com/games/detail/physical-contact-2048-3ds,https://www.nintendo.com/games/detail/pikmin-2-wii-u,,
https://www.nintendo.com/games/detail/wonder-boy-returns-remix-switch,https://www.nintendo.com/games/detail/phils-epic-fill-a-pix-adventure-3ds,https://www.nintendo.com/games/detail/miko-mole-wii-u,,
https://www.nintendo.com/games/detail/american-fugitive-switch,https://www.nintendo.com/games/detail/physical-contact-speed-3ds,https://www.nintendo.com/games/detail/armored-acorns-action-squirrel-squad-wii-u,,
https://www.nintendo.com/games/detail/star-sky-switch,https://www.nintendo.com/games/detail/creeping-terror-3ds,https://www.nintendo.com/games/detail/aqua-tv-wii-u,,
https://www.nintendo.com/games/detail/heroine-anthem-zero-episode-1-switch,https://www.nintendo.com/games/detail/halloween-night-archery-3ds,https://www.nintendo.com/games/detail/sky-force-anniversary-wii-u,,
https://www.nintendo.com/games/detail/the-last-door-complete-edition-switch,https://www.nintendo.com/games/detail/worcle-worlds-3ds,https://www.nintendo.com/games/detail/mahjong-deluxe-3-wii-u,,
https://www.nintendo.com/games/detail/gunlord-x-switch,https://www.nintendo.com/games/detail/fire-emblem-warriors-3ds,https://www.nintendo.com/games/detail/vrog-wii-u,,
https://www.nintendo.com/games/detail/resident-evil-0-switch,https://www.nintendo.com/games/detail/galaxy-blaster-code-red-3ds,https://www.nintendo.com/games/detail/picross-3d-wii-u,,
https://www.nintendo.com/games/detail/team-sonic-racing-switch,https://www.nintendo.com/games/detail/etrian-odyssey-v-beyond-the-myth-3ds,https://www.nintendo.com/games/detail/sudoku-party-wii-u,,
https://www.nintendo.com/games/detail/assassins-creed-3-remastered-switch,https://www.nintendo.com/games/detail/little-adventure-on-the-prairie-3ds,https://www.nintendo.com/games/detail/double-breakout-ii-wii-u,,
https://www.nintendo.com/games/detail/resident-evil-4-switch,https://www.nintendo.com/games/detail/laytons-mystery-journey-katrielle-and-the-millionaires-conspiracy-3ds,https://www.nintendo.com/games/detail/ace-alien-cleanup-elite-wii-u,,
https://www.nintendo.com/games/detail/resident-evil-switch,https://www.nintendo.com/games/detail/mario-luigi-superstar-saga-bowsers-minions-3ds,https://www.nintendo.com/games/detail/blue-collar-astronaut-wii-u,,
https://www.nintendo.com/games/detail/atelier-lulua-the-scion-of-arland-switch,https://www.nintendo.com/games/detail/symphony-of-eternity-3ds,https://www.nintendo.com/games/detail/candy-hoarder-wii-u,,
https://www.nintendo.com/games/detail/resident-evil-origins-collection-switch,https://www.nintendo.com/games/detail/culdcept-revolt-3ds,https://www.nintendo.com/games/detail/bomberman-64-wii-u,,
https://www.nintendo.com/games/detail/akane-switch,https://www.nintendo.com/games/detail/yo-kai-watch-psychic-specters-3ds,https://www.nintendo.com/games/detail/neutopia-wii-u,,
